"Symbol","Date","Bid","Ask","PTF (EUR/MWh)"
"TL/MWh","03-01-2020 00:00",320.01,53.87,"48.03"
"TL/MWh","03-01-2020 01:00",320.74,54.00,"48.14"
"TL/MWh","03-01-2020 02:00",277.86,46.78,"41.71"
"TL/MWh","03-01-2020 03:00",200.00,33.67,"30.02"
"TL/MWh","03-01-2020 04:00",184.99,31.14,"27.77"
"TL/MWh","03-01-2020 05:00",212.07,35.70,"31.83"
"TL/MWh","03-01-2020 06:00",279.99,47.14,"42.03"
"TL/MWh","03-01-2020 07:00",322.00,54.21,"48.33"
"TL/MWh","03-01-2020 08:00",329.88,55.54,"49.52"
"TL/MWh","03-01-2020 09:00",334.88,56.38,"50.27"
"TL/MWh","03-01-2020 10:00",334.99,56.40,"50.28"
"TL/MWh","03-01-2020 11:00",335.47,56.48,"50.35"
"TL/MWh","03-01-2020 12:00",329.99,55.55,"49.53"
"TL/MWh","03-01-2020 13:00",327.87,55.20,"49.21"
"TL/MWh","03-01-2020 14:00",333.77,56.19,"50.10"
"TL/MWh","03-01-2020 15:00",334.99,56.40,"50.28"
"TL/MWh","03-01-2020 16:00",338.25,56.94,"50.77"
"TL/MWh","03-01-2020 17:00",343.04,57.75,"51.49"
"TL/MWh","03-01-2020 18:00",341.03,57.41,"51.19"
"TL/MWh","03-01-2020 19:00",336.55,56.66,"50.52"
"TL/MWh","03-01-2020 20:00",334.68,56.34,"50.24"
"TL/MWh","03-01-2020 21:00",334.99,56.40,"50.28"
"TL/MWh","03-01-2020 22:00",332.82,56.03,"49.96"
"TL/MWh","03-01-2020 23:00",329.01,55.39,"49.39"
